PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Title
1,0,3,0,0.8,1,0,0.0,2.0,0,3
2,1,1,1,0.4,1,0,0.6,0.8,1,0
3,1,3,1,0.8,0,0,0.0,2.0,0,0
4,1,1,1,0.6,1,0,0.6,0.8,0,0
5,0,3,0,0.6,0,0,0.0,2.0,0,3
6,0,3,0,0.6,0,0,0.0,2.0,2,3
7,0,1,0,0.4,0,0,0.6,1.6,0,3
8,0,3,0,1.0,3,1,0.3,2.0,0,2
9,1,3,1,0.6,0,2,0.0,2.0,0,0
10,1,2,1,1.0,1,0,0.6,1.8,1,0
11,1,3,1,1.0,1,1,0.0,2.4,0,0
12,1,1,1,0.4,0,0,0.3,0.8,0,0
13,0,3,0,0.8,0,0,0.0,2.0,0,3
14,0,3,0,0.4,1,5,0.6,2.0,0,3
15,0,3,1,1.0,0,0,0.0,2.0,0,0
16,1,2,1,0.4,0,0,0.0,1.8,0,0
17,0,3,0,1.0,4,1,0.3,2.0,2,2
18,1,2,0,0.6,0,0,0.0,1.8,0,3
19,0,3,1,0.6,1,0,0.3,2.0,0,0
20,1,3,1,0.6,0,0,0.0,2.0,1,0
21,0,2,0,0.6,0,0,0.3,1.8,0,3
22,1,2,0,0.6,0,0,0.0,1.2,0,3
23,1,3,1,1.0,0,0,0.0,2.0,2,0
24,1,1,0,0.6,0,0,0.6,0.0,0,3
25,0,3,1,1.0,3,1,0.3,2.0,0,0
26,1,3,1,0.4,1,5,0.6,2.0,0,0
27,0,3,0,0.6,0,0,0.0,2.0,1,3
28,0,1,0,0.8,3,2,1.0,0.8,0,3
29,1,3,1,0.6,0,0,0.0,2.0,2,0
30,0,3,0,0.6,0,0,0.0,2.0,0,3
31,0,1,0,0.4,0,0,0.3,0.8,1,3
32,1,1,1,0.6,1,0,1.0,0.4,1,0
33,1,3,1,0.6,0,0,0.0,2.0,2,0
34,0,2,0,0.2,0,0,0.0,1.8,0,3
35,0,1,0,0.6,1,0,0.6,0.8,1,3
36,0,1,0,0.4,1,0,0.6,0.8,0,3
37,1,3,0,0.6,0,0,0.0,2.0,1,3
38,0,3,0,0.8,0,0,0.0,2.0,0,3
39,0,3,1,0.8,2,0,0.3,2.0,0,0
40,1,3,1,1.0,1,0,0.0,2.0,1,0
41,0,3,1,0.4,1,0,0.0,2.0,0,0
42,0,2,1,0.6,1,0,0.3,1.8,0,0
43,0,3,0,0.6,0,0,0.0,2.0,1,3
44,1,2,1,1.0,1,2,0.6,1.8,1,0
45,1,3,1,0.8,0,0,0.0,2.0,2,0
46,0,3,0,0.6,0,0,0.0,2.0,0,3
47,0,3,0,0.6,1,0,0.0,2.0,2,3
48,1,3,1,0.6,0,0,0.0,2.0,2,0
49,0,3,0,0.6,2,0,0.3,2.0,1,3
50,0,3,1,0.8,1,0,0.3,2.0,0,0
51,0,3,0,1.0,4,1,0.6,2.0,0,2
52,0,3,0,0.8,0,0,0.0,2.0,0,3
53,1,1,1,0.4,1,0,0.6,1.2,1,0
54,1,2,1,0.6,1,0,0.3,1.8,0,0
55,0,1,0,0.2,0,1,0.6,0.4,1,3
56,1,1,0,0.6,0,0,0.6,0.8,0,3
57,1,2,1,0.8,0,0,0.0,1.8,0,0
58,0,3,0,0.6,0,0,0.0,2.0,1,3
59,1,2,1,1.0,1,2,0.3,1.8,0,0
60,0,3,0,1.0,5,2,0.6,2.0,0,2
61,0,3,0,0.8,0,0,0.0,2.0,1,3
62,1,1,1,0.4,0,0,0.6,0.4,0,0
63,0,1,0,0.4,1,0,0.6,0.8,0,3
64,0,3,0,1.0,3,2,0.3,2.0,0,2
65,0,1,0,0.6,0,0,0.3,0.8,1,3
66,1,3,0,1.0,1,1,0.0,2.0,1,2
67,1,2,1,0.6,0,0,0.0,2.0,0,0
68,0,3,0,0.8,0,0,0.0,2.0,0,3
69,1,3,1,0.8,4,2,0.0,2.0,0,0
70,0,3,0,0.8,2,0,0.0,2.0,0,3
71,0,2,0,0.6,0,0,0.0,1.8,0,3
72,0,3,1,1.0,5,2,0.6,2.0,0,0
73,0,2,0,0.8,0,0,0.6,1.8,0,3
74,0,3,0,0.8,1,0,0.0,2.0,1,3
75,1,3,0,0.6,0,0,0.6,2.0,0,3
76,0,3,0,0.8,0,0,0.0,2.0,0,3
77,0,3,0,0.6,0,0,0.0,2.0,0,3
78,0,3,0,0.6,0,0,0.0,2.0,0,3
79,1,2,0,1.0,0,2,0.3,1.8,0,2
80,1,3,1,0.6,0,0,0.0,2.0,0,0
81,0,3,0,0.8,0,0,0.0,2.0,0,3
82,1,3,0,0.6,0,0,0.0,2.0,0,3
83,1,3,1,0.6,0,0,0.0,2.0,2,0
84,0,1,0,0.6,0,0,0.6,0.8,0,3
85,1,2,1,0.8,0,0,0.0,1.8,0,0
86,1,3,1,0.6,3,0,0.0,2.0,0,0
87,0,3,0,1.0,1,3,0.6,2.0,0,3
88,0,3,0,0.6,0,0,0.0,2.0,0,3
89,1,1,1,0.8,3,2,1.0,0.8,0,0
90,0,3,0,0.8,0,0,0.0,2.0,0,3
91,0,3,0,0.6,0,0,0.0,2.0,0,3
92,0,3,0,0.8,0,0,0.0,2.0,0,3
93,0,1,0,0.4,1,0,0.6,1.6,0,3
94,0,3,0,0.8,1,2,0.3,2.0,0,3
95,0,3,0,0.4,0,0,0.0,2.0,0,3
96,0,3,0,0.6,0,0,0.0,2.0,0,3
97,0,1,0,0.2,0,0,0.6,0.0,1,3
98,1,1,0,0.8,0,1,0.6,1.2,1,3
99,1,2,1,0.6,0,1,0.3,1.8,0,0
100,0,2,0,0.6,1,0,0.3,1.8,0,3
101,0,3,1,0.6,0,0,0.0,2.0,0,0
102,0,3,0,0.6,0,0,0.0,2.0,0,3
103,0,1,0,0.8,0,1,0.6,1.2,0,3
104,0,3,0,0.6,0,0,0.0,2.0,0,3
105,0,3,0,0.4,2,0,0.0,2.0,0,3
106,0,3,0,0.6,0,0,0.0,2.0,0,3
107,1,3,1,0.8,0,0,0.0,2.0,0,0
108,1,3,0,0.6,0,0,0.0,2.0,0,3
109,0,3,0,0.4,0,0,0.0,2.0,0,3
110,1,3,1,0.6,1,0,0.3,2.0,2,0
111,0,1,0,0.4,0,0,0.6,0.8,0,3
112,0,3,1,1.0,1,0,0.0,2.0,1,0
113,0,3,0,0.8,0,0,0.0,2.0,0,3
114,0,3,1,0.8,1,0,0.0,2.0,0,0
115,0,3,1,0.8,0,0,0.0,2.0,1,0
116,0,3,0,0.8,0,0,0.0,2.0,0,3
117,0,3,0,0.2,0,0,0.0,2.0,2,3
118,0,2,0,0.6,1,0,0.3,1.8,0,3
119,0,1,0,0.8,0,1,1.0,0.4,1,3
120,0,3,1,1.0,4,2,0.6,2.0,0,0
121,0,2,0,0.8,2,0,0.6,1.8,0,3
122,0,3,0,0.6,0,0,0.0,2.0,0,3
123,0,2,0,0.6,1,0,0.6,1.8,1,3
124,1,2,1,0.6,0,0,0.0,1.6,0,0
125,0,1,0,0.4,0,1,0.6,1.2,0,3
126,1,3,0,1.0,1,0,0.0,2.0,1,2
127,0,3,0,0.6,0,0,0.0,2.0,2,3
128,1,3,0,0.8,0,0,0.0,2.0,0,3
129,1,3,1,0.6,1,1,0.3,2.0,1,0
130,0,3,0,0.4,0,0,0.0,2.0,0,3
131,0,3,0,0.6,0,0,0.0,2.0,1,3
132,0,3,0,0.8,0,0,0.0,2.0,0,3
133,0,3,1,0.4,1,0,0.0,2.0,0,0
134,1,2,1,0.6,1,0,0.3,1.8,0,0
135,0,2,0,0.8,0,0,0.0,1.8,0,3
136,0,2,0,0.8,0,0,0.0,1.8,1,3
137,1,1,1,0.8,0,2,0.3,1.2,0,0
138,0,1,0,0.4,1,0,0.6,0.8,0,3
139,0,3,0,1.0,0,0,0.0,2.0,0,3
140,0,1,0,0.8,0,0,0.6,0.4,1,3
141,0,3,1,0.6,0,2,0.0,2.0,1,0
142,1,3,1,0.8,0,0,0.0,2.0,0,0
143,1,3,1,0.8,1,0,0.0,2.0,0,0
144,0,3,0,0.8,0,0,0.0,2.0,2,3
145,0,2,0,0.8,0,0,0.0,1.8,0,3
146,0,2,0,0.8,1,1,0.6,1.8,0,3
147,1,3,0,0.6,0,0,0.0,2.0,0,3
148,0,3,1,1.0,2,2,0.6,2.0,0,0
149,0,2,0,0.4,0,2,0.3,2.0,0,3
150,0,2,0,0.4,0,0,0.0,1.8,0,3
151,0,2,0,0.4,0,0,0.0,1.8,0,3
152,1,1,1,0.8,1,0,0.6,0.8,0,0
153,0,3,0,0.4,0,0,0.0,2.0,0,3
154,0,3,0,0.4,0,2,0.0,2.0,0,3
155,0,3,0,0.6,0,0,0.0,2.0,0,3
156,0,1,0,0.4,0,1,0.6,0.8,1,3
157,1,3,1,1.0,0,0,0.0,2.0,2,0
158,0,3,0,0.6,0,0,0.0,2.0,0,3
159,0,3,0,0.6,0,0,0.0,2.0,0,3
160,0,3,0,1.0,8,2,0.6,2.0,0,2
161,0,3,0,0.4,0,1,0.0,2.0,0,3
162,1,2,1,0.4,0,0,0.0,1.8,0,0
163,0,3,0,0.8,0,0,0.0,2.0,0,3
164,0,3,0,0.8,0,0,0.0,2.0,0,3
165,0,3,0,1.0,4,1,0.6,2.0,0,2
166,1,3,0,1.0,0,2,0.3,2.0,0,2
167,1,1,1,0.6,0,1,0.6,1.6,0,0
168,0,3,1,0.4,1,4,0.3,2.0,0,0
169,0,1,0,0.6,0,0,0.3,0.8,0,3
170,0,3,0,0.6,0,0,0.6,2.0,0,3
171,0,1,0,0.4,0,0,0.6,0.4,0,3
172,0,3,0,1.0,4,1,0.3,2.0,2,2
173,1,3,1,1.0,1,1,0.0,2.0,0,0
174,0,3,0,0.8,0,0,0.0,2.0,0,3
175,0,1,0,0.4,0,0,0.6,0.0,1,3
176,0,3,0,0.8,1,1,0.0,2.0,0,3
177,0,3,0,1.0,3,1,0.3,2.0,0,2
178,0,1,1,0.4,0,0,0.3,0.8,1,0
179,0,2,0,0.6,0,0,0.0,1.8,0,3
180,0,3,0,0.6,0,0,0.0,2.0,0,3
181,0,3,1,0.6,8,2,0.6,2.0,0,0
182,0,2,0,0.6,0,0,0.0,1.8,1,3
183,0,3,0,1.0,4,2,0.6,2.0,0,2
184,1,2,0,1.0,2,1,0.6,2.0,0,2
185,1,3,1,1.0,0,2,0.3,2.0,0,0
186,0,1,0,0.6,0,0,0.6,0.0,0,3
187,1,3,1,0.6,1,0,0.0,2.0,2,0
188,1,1,0,0.4,0,0,0.3,0.8,0,3
189,0,3,0,0.4,1,1,0.0,2.0,2,3
190,0,3,0,0.6,0,0,0.0,2.0,0,3
191,1,2,1,0.6,0,0,0.0,1.8,0,0
192,0,2,0,0.8,0,0,0.0,1.8,0,3
193,1,3,1,0.8,1,0,0.0,2.0,0,0
194,1,2,0,1.0,1,1,0.3,2.0,0,2
195,1,1,1,0.4,0,0,0.3,0.4,1,0
196,1,1,1,0.4,0,0,1.0,0.4,1,0
197,0,3,0,0.6,0,0,0.0,2.0,2,3
198,0,3,0,0.4,0,1,0.0,2.0,0,3
199,1,3,1,0.6,0,0,0.0,2.0,2,0
200,0,2,1,0.8,0,0,0.0,1.8,0,0
201,0,3,0,0.6,0,0,0.0,2.0,0,3
202,0,3,0,0.6,8,2,0.6,2.0,0,3
203,0,3,0,0.6,0,0,0.0,2.0,0,3
204,0,3,0,0.4,0,0,0.0,2.0,1,3
205,1,3,0,0.8,0,0,0.0,2.0,0,3
206,0,3,1,1.0,0,1,0.0,2.4,0,0
207,0,3,0,0.6,1,0,0.0,2.0,0,3
208,1,3,0,0.8,0,0,0.3,2.0,1,3
209,1,3,1,1.0,0,0,0.0,2.0,2,0
210,1,1,0,0.4,0,0,0.6,0.0,1,3
211,0,3,0,0.8,0,0,0.0,2.0,0,3
212,1,2,1,0.6,0,0,0.3,1.8,0,0
213,0,3,0,0.8,0,0,0.0,2.0,0,3
214,0,2,0,0.6,0,0,0.0,1.8,0,3
215,0,3,0,0.6,1,0,0.0,2.0,2,3
216,1,1,1,0.6,1,0,1.0,1.2,1,0
217,1,3,1,0.6,0,0,0.0,2.0,0,0
218,0,2,0,0.4,1,0,0.3,1.8,0,3
219,1,1,1,0.6,0,0,0.6,1.2,1,0
220,0,2,0,0.6,0,0,0.0,1.8,0,3
221,1,3,0,1.0,0,0,0.0,2.0,0,3
222,0,2,0,0.6,0,0,0.0,1.8,0,3
223,0,3,0,0.4,0,0,0.0,2.0,0,3
224,0,3,0,0.6,0,0,0.0,2.0,0,3
225,1,1,0,0.4,1,0,0.6,0.8,0,3
226,0,3,0,0.8,0,0,0.0,2.0,0,3
227,1,2,0,0.8,0,0,0.0,1.8,0,3
228,0,3,0,0.8,0,0,0.0,2.0,0,3
229,0,2,0,0.8,0,0,0.0,1.8,0,3
230,0,3,1,0.6,3,1,0.3,2.0,0,0
231,1,1,1,0.6,1,0,0.6,0.8,0,0
232,0,3,0,0.6,0,0,0.0,2.0,0,3
233,0,2,0,0.4,0,0,0.0,1.8,0,3
234,1,3,1,1.0,4,2,0.6,2.0,0,0
235,0,2,0,0.8,0,0,0.0,1.8,0,3
236,0,3,1,0.6,0,0,0.0,2.0,0,0
237,0,2,0,0.4,1,0,0.3,1.8,0,3
238,1,2,1,1.0,0,2,0.3,1.8,0,0
239,0,2,0,0.8,0,0,0.0,1.8,0,3
240,0,2,0,0.6,0,0,0.0,1.8,0,3
241,0,3,1,0.6,1,0,0.0,2.0,1,0
242,1,3,1,0.6,1,0,0.0,2.0,2,0
243,0,2,0,0.6,0,0,0.0,1.8,0,3
244,0,3,0,0.8,0,0,0.0,2.0,0,3
245,0,3,0,0.6,0,0,0.0,2.0,1,3
246,0,1,0,0.4,2,0,0.6,0.8,2,3
247,0,3,1,0.8,0,0,0.0,2.0,0,0
248,1,2,1,0.8,0,2,0.0,1.8,0,0
249,1,1,0,0.4,1,1,0.6,1.2,0,3
250,0,2,0,0.4,1,0,0.3,1.8,0,3
251,0,3,0,0.6,0,0,0.0,2.0,0,3
252,0,3,1,0.6,1,1,0.0,2.4,0,0
253,0,1,0,0.4,0,0,0.3,0.8,0,3
254,0,3,0,0.6,1,0,0.0,2.0,0,3
255,0,3,1,0.4,0,2,0.3,2.0,0,0
256,1,3,1,0.6,0,2,0.0,2.0,1,0
257,1,1,1,0.6,0,0,0.6,0.8,1,0
258,1,1,1,0.6,0,0,0.6,0.4,0,0
259,1,1,1,0.6,0,0,1.0,0.8,1,0
260,1,2,1,0.4,0,1,0.3,1.8,0,0
261,0,3,0,0.6,0,0,0.0,2.0,2,3
262,1,3,0,1.0,4,2,0.6,2.0,0,2
263,0,1,0,0.4,1,1,0.6,1.6,0,3
264,0,1,0,0.4,0,0,0.0,0.4,0,3
265,0,3,1,0.6,0,0,0.0,2.0,2,0
266,0,2,0,0.6,0,0,0.0,1.8,0,3
267,0,3,0,1.0,4,1,0.6,2.0,0,3
268,1,3,0,0.8,1,0,0.0,2.0,0,3
269,1,1,1,0.4,0,1,1.0,0.8,0,0
270,1,1,1,0.6,0,0,1.0,0.8,0,0
271,0,1,0,0.6,0,0,0.6,0.8,0,3
272,1,3,0,0.8,0,0,0.0,2.0,0,3
273,1,2,1,0.4,0,1,0.3,1.8,0,0
274,0,1,0,0.4,0,1,0.3,0.8,1,3
275,1,3,1,0.6,0,0,0.0,2.0,2,0
276,1,1,1,0.2,1,0,0.6,1.2,0,0
277,0,3,1,0.4,0,0,0.0,2.0,0,0
278,0,2,0,0.6,0,0,0.0,1.8,0,3
279,0,3,0,1.0,4,1,0.3,2.0,2,2
280,1,3,1,0.6,1,1,0.3,2.0,0,0
281,0,3,0,0.2,0,0,0.0,2.0,2,3
282,0,3,0,0.6,0,0,0.0,2.0,0,3
283,0,3,0,1.0,0,0,0.0,2.0,0,3
284,1,3,0,0.8,0,0,0.0,2.0,0,3
285,0,1,0,0.6,0,0,0.3,0.0,0,3
286,0,3,0,0.6,0,0,0.0,2.0,1,3
287,1,3,0,0.6,0,0,0.0,2.0,0,3
288,0,3,0,0.8,0,0,0.0,2.0,0,3
289,1,2,0,0.4,0,0,0.0,1.8,0,3
290,1,3,1,0.8,0,0,0.0,2.0,2,0
291,1,1,1,0.8,0,0,0.6,0.8,0,0
292,1,1,1,0.8,1,0,0.6,0.4,1,0
293,0,2,0,0.6,0,0,0.0,1.2,1,3
294,0,3,1,0.8,0,0,0.0,2.0,0,0
295,0,3,0,0.8,0,0,0.0,2.0,0,3
296,0,1,0,0.6,0,0,0.3,0.8,1,3
297,0,3,0,0.8,0,0,0.0,2.0,1,3
298,0,1,1,1.0,1,2,1.0,0.8,0,0
299,1,1,0,0.6,0,0,0.6,0.8,0,3
300,1,1,1,0.4,0,1,1.0,0.4,1,0
301,1,3,1,0.6,0,0,0.0,2.0,2,0
302,1,3,0,0.6,2,0,0.3,2.0,2,3
303,0,3,0,0.8,0,0,0.0,2.0,0,3
304,1,2,1,0.6,0,0,0.0,1.6,2,0
305,0,3,0,0.6,0,0,0.0,2.0,0,3
306,1,1,0,1.0,1,2,1.0,0.8,0,2
307,1,1,1,0.6,0,0,1.0,0.8,1,0
308,1,1,1,0.8,1,0,1.0,0.8,1,0
309,0,2,0,0.6,1,0,0.3,1.8,1,3
310,1,1,1,0.6,0,0,0.6,1.6,1,0
311,1,1,1,0.8,0,0,0.6,0.8,1,0
312,1,1,1,0.8,2,2,1.0,0.4,1,0
313,0,2,1,0.8,1,1,0.3,1.8,0,0
314,0,3,0,0.6,0,0,0.0,2.0,0,3
315,0,2,0,0.4,1,1,0.3,1.8,0,3
316,1,3,1,0.8,0,0,0.0,2.0,0,0
317,1,2,1,0.8,1,0,0.3,1.8,0,0
318,0,2,0,0.4,0,0,0.0,1.8,0,3
319,1,1,1,0.6,0,2,1.0,0.8,0,0
320,1,1,1,0.4,1,1,1.0,1.6,1,0
321,0,3,0,0.8,0,0,0.0,2.0,0,3
322,0,3,0,0.6,0,0,0.0,2.0,0,3
323,1,2,1,0.6,0,0,0.0,1.8,2,0
324,1,2,1,0.8,1,1,0.3,1.8,0,0
325,0,3,0,0.6,8,2,0.6,2.0,0,3
326,1,1,1,0.6,0,0,1.0,0.8,1,0
327,0,3,0,0.4,0,0,0.0,2.0,0,3
328,1,2,1,0.6,0,0,0.0,1.2,0,0
329,1,3,1,0.6,1,1,0.3,2.0,0,0
330,1,1,1,1.0,0,1,0.6,0.4,1,0
331,1,3,1,0.6,2,0,0.3,2.0,2,0
332,0,1,0,0.4,0,0,0.3,0.8,0,3
333,0,1,0,0.4,0,1,1.0,0.8,0,3
334,0,3,0,1.0,2,0,0.3,2.0,0,3
335,1,1,1,0.6,1,0,1.0,0.8,0,0
336,0,3,0,0.6,0,0,0.0,2.0,0,3
337,0,1,0,0.6,1,0,0.6,0.8,0,3
338,1,1,1,0.4,0,0,1.0,1.6,1,0
339,1,3,0,0.4,0,0,0.0,2.0,0,3
340,0,1,0,0.4,0,0,0.6,2.8,0,3
341,1,2,0,1.0,1,1,0.3,2.0,0,2
342,1,1,1,0.8,3,2,1.0,0.8,0,0
343,0,2,0,0.6,0,0,0.0,1.8,0,3
344,0,2,0,0.8,0,0,0.0,1.8,0,3
345,0,2,0,0.6,0,0,0.0,1.8,0,3
346,1,2,1,0.8,0,0,0.0,2.0,0,0
347,1,2,1,0.4,0,0,0.0,1.8,0,0
348,1,3,1,0.6,1,0,0.0,2.0,0,0
349,1,3,0,1.0,1,1,0.0,2.0,0,2
350,0,3,0,0.4,0,0,0.0,2.0,0,3
351,0,3,0,0.8,0,0,0.0,2.0,0,3
352,0,1,0,0.6,0,0,0.6,0.8,0,3
353,0,3,0,1.0,1,1,0.0,2.0,1,3
354,0,3,0,0.8,1,0,0.3,2.0,0,3
355,0,3,0,0.6,0,0,0.0,2.0,1,3
356,0,3,0,0.6,0,0,0.0,2.0,0,3
357,1,1,1,0.8,0,1,0.6,1.6,0,0
358,0,2,1,0.4,0,0,0.0,1.8,0,0
359,1,3,1,0.6,0,0,0.0,2.0,2,0
360,1,3,1,0.6,0,0,0.0,2.0,2,0
361,0,3,0,0.4,1,4,0.3,2.0,0,3
362,0,2,0,0.6,1,0,0.3,1.8,1,3
363,0,3,1,0.4,0,1,0.0,2.0,1,0
364,0,3,0,0.6,0,0,0.0,2.0,0,3
365,0,3,0,0.6,1,0,0.0,2.0,2,3
366,0,3,0,0.6,0,0,0.0,2.0,0,3
367,1,1,1,0.4,1,0,0.6,1.2,1,0
368,1,3,1,0.6,0,0,0.0,2.0,1,0
369,1,3,1,0.6,0,0,0.0,2.0,2,0
370,1,1,1,0.8,0,0,0.6,0.4,1,0
371,1,1,0,0.8,1,0,0.6,1.6,1,3
372,0,3,0,0.8,1,0,0.0,2.0,0,3
373,0,3,0,0.8,0,0,0.0,2.0,0,3
374,0,1,0,0.8,0,0,1.0,0.8,1,3
375,0,3,1,1.0,3,1,0.3,2.0,0,0
376,1,1,1,0.6,1,0,0.6,0.8,1,0
377,1,3,1,0.8,0,0,0.0,2.0,0,0
378,0,1,0,0.6,0,2,1.0,0.8,1,3
379,0,3,0,0.8,0,0,0.0,2.0,1,3
380,0,3,0,0.8,0,0,0.0,2.0,0,3
381,1,1,1,0.4,0,0,1.0,0.8,1,0
382,1,3,1,1.0,0,2,0.0,2.0,1,0
383,0,3,0,0.6,0,0,0.0,2.0,0,3
384,1,1,1,0.6,1,0,0.6,0.8,0,0
385,0,3,0,0.6,0,0,0.0,2.0,0,3
386,0,2,0,0.8,0,0,0.6,1.8,0,3
387,0,3,0,1.0,5,2,0.6,2.0,0,2
388,1,2,1,0.6,0,0,0.0,1.8,0,0
389,0,3,0,0.6,0,0,0.0,2.0,2,3
390,1,2,1,0.8,0,0,0.0,1.8,1,0
391,1,1,0,0.6,1,2,1.0,0.4,0,3
392,1,3,0,0.8,0,0,0.0,2.0,0,3
393,0,3,0,0.6,2,0,0.0,2.0,0,3
394,1,1,1,0.8,1,0,1.0,1.2,1,0
395,1,3,1,0.8,0,2,0.0,2.4,0,0
396,0,3,0,0.8,0,0,0.0,2.0,0,3
397,0,3,1,0.6,0,0,0.0,2.0,0,0
398,0,2,0,0.4,0,0,0.3,1.8,0,3
399,0,2,0,0.8,0,0,0.0,1.8,0,3
400,1,2,1,0.6,0,0,0.0,1.8,0,0
401,1,3,0,0.4,0,0,0.0,2.0,0,3
402,0,3,0,0.8,0,0,0.0,2.0,0,3
403,0,3,1,0.8,1,0,0.0,2.0,0,0
404,0,3,0,0.6,1,0,0.0,2.0,0,3
405,0,3,1,0.8,0,0,0.0,2.0,0,0
406,0,2,0,0.6,1,0,0.3,1.8,0,3
407,0,3,0,0.4,0,0,0.0,2.0,0,3
408,1,2,0,1.0,1,1,0.3,1.8,0,2
409,0,3,0,0.8,0,0,0.0,2.0,0,3
410,0,3,1,0.6,3,1,0.3,2.0,0,0
411,0,3,0,0.6,0,0,0.0,2.0,0,3
412,0,3,0,0.6,0,0,0.0,2.0,2,3
413,1,1,1,0.6,1,0,0.6,0.8,2,0
414,0,2,0,0.6,0,0,0.0,1.8,0,3
415,1,3,0,0.4,0,0,0.0,2.0,0,3
416,0,3,1,0.6,0,0,0.0,2.0,0,0
417,1,2,1,0.6,1,1,0.6,1.8,0,0
418,1,2,1,0.8,0,2,0.0,1.8,0,0
419,0,2,0,0.6,0,0,0.0,1.8,0,3
420,0,3,1,1.0,0,2,0.3,2.0,0,0
421,0,3,0,0.6,0,0,0.0,2.0,1,3
422,0,3,0,0.8,0,0,0.0,2.0,2,3
423,0,3,0,0.6,0,0,0.0,2.0,0,3
424,0,3,1,0.6,1,1,0.0,2.0,0,0
425,0,3,0,0.8,1,1,0.3,2.0,0,3
426,0,3,0,0.6,0,0,0.0,2.0,0,3
427,1,2,1,0.6,1,0,0.3,1.8,0,0
428,1,2,1,0.8,0,0,0.3,1.8,0,0
429,0,3,0,0.6,0,0,0.0,2.0,2,3
430,1,3,0,0.6,0,0,0.0,1.6,0,3
431,1,1,0,0.6,0,0,0.3,0.8,0,3
432,1,3,1,0.6,1,0,0.0,2.0,0,0
433,1,2,1,0.4,1,0,0.3,1.8,0,0
434,0,3,0,0.8,0,0,0.0,2.0,0,3
435,0,1,0,0.4,1,0,0.6,1.6,0,3
436,1,1,1,1.0,1,2,1.0,0.4,0,0
437,0,3,1,0.8,2,2,0.6,2.0,0,0
438,1,2,1,0.8,2,3,0.3,1.8,0,0
439,0,1,0,0.2,1,4,1.0,0.8,0,3
440,0,2,0,0.6,0,0,0.0,1.8,0,3
441,1,2,1,0.4,1,1,0.3,1.8,0,0
442,0,3,0,0.8,0,0,0.0,2.0,0,3
443,0,3,0,0.8,1,0,0.0,2.0,0,3
444,1,2,1,0.6,0,0,0.0,1.8,0,0
445,1,3,0,0.6,0,0,0.0,2.0,0,3
446,1,1,0,1.0,0,2,0.6,0.0,0,2
